,Map.ID,X1,X2,X3,acro_comp,Nested_class
1,1,D1CA0,D2CA0,D3CA5,D1CA0-D2CA0-D3CA5,Incomplete
2,2,D1CA0,D2CA1,D3CA5,D1CA0-D2CA1-D3CA5,Incomplete
3,3,D1CA2,D2CA0,D3CA5,D1CA2-D2CA0-D3CA5,Incomplete
4,4,D1CA3,D2CA0,D3CA5,D1CA3-D2CA0-D3CA5,Incomplete
5,5,D1CA5,D2CA0,D3CA5,D1CA5-D2CA0-D3CA5,Incomplete
6,6,D1CA5,D2CA1,D3CA5,D1CA5-D2CA1-D3CA5,Incomplete
7,7,D1CA6,D2CA5,D3CA5,D1CA6-D2CA5-D3CA5,Incomplete
8,8,D1CA8,D2CA0,D3CA5,D1CA8-D2CA0-D3CA5,Incomplete
9,9,D1CA8,D2CA1,D3CA5,D1CA8-D2CA1-D3CA5,Incomplete
10,10,D1CA9,D2CA0,D3CA5,D1CA9-D2CA0-D3CA5,Incomplete
11,11,D1CA9,D2CA8,D3CA5,D1CA9-D2CA8-D3CA5,Incomplete
12,12,,D2CA0,D3CA4,-D2CA0-D3CA4,Reverse
13,13,,D2CA0,D3CA5,-D2CA0-D3CA5,Incomplete
14,14,,D2CA0,D3CA10,-D2CA0-D3CA10,Incomplete
15,15,,D2CA0,D3CA16,-D2CA0-D3CA16,Incomplete
16,16,,D2CA1,D3CA5,-D2CA1-D3CA5,Complete
17,17,,D2CA1,D3CA10,-D2CA1-D3CA10,Incomplete
18,18,,D2CA2,D3CA16,-D2CA2-D3CA16,Complete
19,19,,D2CA5,D3CA5,-D2CA5-D3CA5,Incomplete
20,20,,D2CA6,D3CA4,-D2CA6-D3CA4,Incomplete
21,21,,D2CA6,D3CA5,-D2CA6-D3CA5,Complete
22,22,,D2CA8,D3CA5,-D2CA8-D3CA5,Incomplete
23,23,,D2CA9,D3CA5,-D2CA9-D3CA5,Complete
24,24,,D2CA13,D3CA5,-D2CA13-D3CA5,Complete
25,25,,D2CA15,D3CA5,-D2CA15-D3CA5,Complete
26,26,,D2CA15,D3CA23,-D2CA15-D3CA23,Incomplete
27,27,,D2CA19,D3CA5,-D2CA19-D3CA5,Complete
28,28,,D2CA19,D3CA16,-D2CA19-D3CA16,Incomplete
29,29,,D2CA21,D3CA5,-D2CA21-D3CA5,Complete
30,30,,D2CA24,D3CA5,-D2CA24-D3CA5,Incomplete
31,31,,D2CA24,D3CA19,-D2CA24-D3CA19,Complete
32,32,D1CA1,D2CA25,D3CA11,D1CA1-D2CA25-D3CA11,Complete
33,33,D1CA4,D2CA10,D3CA30,D1CA4-D2CA10-D3CA30,Complete
34,34,D1CA7,D2CA23,D3CA14,D1CA7-D2CA23-D3CA14,Incomplete
35,35,,D2CA3,D3CA6,-D2CA3-D3CA6,Incomplete
36,36,,D2CA3,D3CA11,-D2CA3-D3CA11,Complete
37,37,,D2CA4,D3CA26,-D2CA4-D3CA26,Identical
38,38,,D2CA7,D3CA0,-D2CA7-D3CA0,Complete
39,39,,D2CA10,D3CA6,-D2CA10-D3CA6,Incomplete
40,40,,D2CA10,D3CA11,-D2CA10-D3CA11,Incomplete
41,41,,D2CA10,D3CA30,-D2CA10-D3CA30,Complete
42,42,,D2CA16,D3CA28,-D2CA16-D3CA28,Complete
43,43,,D2CA16,D3CA32,-D2CA16-D3CA32,Complete
44,44,,D2CA18,D3CA0,-D2CA18-D3CA0,Complete
45,45,,D2CA18,D3CA3,-D2CA18-D3CA3,Incomplete
46,46,,D2CA20,D3CA20,-D2CA20-D3CA20,Incomplete
47,47,,D2CA20,D3CA32,-D2CA20-D3CA32,Incomplete
48,48,,D2CA23,D3CA14,-D2CA23-D3CA14,Complete
49,49,,D2CA25,D3CA11,-D2CA25-D3CA11,Complete
50,50,,D2CA25,D3CA29,-D2CA25-D3CA29,Incomplete
51,51,,D2CA27,D3CA18,-D2CA27-D3CA18,Complete
52,52,,D2CA12,D3CA25,-D2CA12-D3CA25,Complete
53,53,,D2CA12,D3CA31,-D2CA12-D3CA31,Incomplete
54,54,,D2CA14,D3CA8,-D2CA14-D3CA8,Complete
55,55,,D2CA17,D3CA8,-D2CA17-D3CA8,Complete
56,56,,D2CA22,D3CA8,-D2CA22-D3CA8,Complete
57,57,,S2CA22,D3CA13,-S2CA22-D3CA13,Incomplete
58,58,,D2CA26,D3CA8,-D2CA26-D3CA8,Complete
59,59,,D2CA11,D3CA2,-D2CA11-D3CA2,Reverse
